"ID","Language","Concept","Definition","See","See also","Source","Input/Edit"
,"Portuguese","Atributo","Característica de uma entidade. Um atributo pode ser intrínseco a uma entidade ou ser-lhe externamente imputado.",,,,20090812
,"Russian","Атрибут ","характеристика объекта. Атрибут может быть неотъемлемой частью объекта, а может быть заимствован извне.",,,,20090805
,"Slovak","Atribút","charakteristika entity. Atribút môže byť súčasťou entity alebo pripisovaný entite zvonka.
",,,,20090805
,"Slovene","Atribut","lastnost entitete. Atribut je lahko lasten sami entiteti ali pa izvira od zunaj.",,,,20090813
,"Spanish","Atributo","La característica de una entidad; un atributo puede ser inherente a una entidad o atribuido externamente.",,,,20090805
,"Swedish","Attribut","Entitetens egenskaper. Attributen kan vara en del av entiteten eller ha tilldelats denna.",,,,20090813
,"Thai","แอททริบิวท์","คุณลักษณะของเอนทิตี แอททริบิวท์สามารถสืบทอดกันภายในเอนทิตีหรือสร้าง
	ขึ้นจากภายนอกได้",,,,20090805
,"Vietnamese","Thuộc tính","Đặc điểm của một thực thể. Một thuộc tính có thể là đặc tính vốn có của thực thế hay là yếu tố ngoại lai.",,,,20090813
,,,,,,,
,"English","Authority record","A set of data elements that identifies an entity and can be used to facilitate access to the authorized access point for that entity or the display of any access point for the entity.",,,"IME ICC",20090805
,"Albanian","Regjistrim termi të njësuar","Grup me elemente të dhënash që identifikojnë një entitet dhe mund të përdoren për të lehtësuar akcesin në pikën hyrëse të autorizuar (të njësuar) për atë entitet ose shfaqjen e ndonjë pikë hyrëse për entitetin.",,,,20090812
,"Arabic","التسجيلة الاستنادية","مجموعة من عناصر البيانات تحدد كيان ما، ويمكن أن تستخدم لتسهيل الوصول لنقطة الوصول المقننة لهذا الكيان أو لعرض أي نقطة وصول للكيان.",,,,20090805
,"Bulgarian","Контролен запис","Съвкупност от елементи от данни, която идентифицира определен обект и може да бъде използвана за улесняване на достъпа до установената точка за достъп до този обект или за визуализация на всяка точка за достъп до нея.",,,,20100809
,"Catalan","Registre d’autoritat","Conjunt d’elements de dades que identifica una entitat i que es pot utilitzar per facilitar l’accés al punt d’accés autoritzat d’aquesta entitat o per visualitzar qualsevol punt d’accés assignat a l’entitat.",,,,20100809
,"Chinese","规范记录","识别某一实体，并可为存取该实体的规范检索点或显示该实体的任何检索点提供便利的一组数据单元。",,,"IME ICC",20090805
,"Croatian","Pregledni zapis","Skup podatkovnih elemenata koji identificiraju entitet i koji se mogu upotrijebiti za olakšavanje pristupa usvojenoj pristupnici za taj entitet ili za prikaz bilo koje pristupnice za taj entitet.",,,,20090812
,"Czech","Autoritní záznam","soubor datových prvků, které identifikují entitu a mohou být použity k usnadnění přístupu k autorizovanému selekčnímu údaji či zobrazení selekčního údaje pro entitu.",,,,20090812
,"Finnish","Auktoriteettitietue","Tietoelementtien joukko, joka identifioi entiteetin ja joka helpottaa entiteetin auktorisoidun hakutiedon tai muun sitä koskevan hakutiedon löytämistä.",,,,20100809
,"French","Notice d'autorité","Ensemble des éléments de données qui identifie une entité et qui peut être utilisé afin de faciliter l'accès au point d'accès autorisé pour cette entité ou l'affichage de tout point d'accès établi pour cette entité.",,,,20090805
,"German","Normdatensatz","Ein Datensatz, der eine Entität identifiziert und dafür genutzt werden kann, den Zugang zur Ansetzungsform des Sucheinstiegs oder die Anzeige eines anderen Sucheinstiegs dieser Entität zu ermöglichen.",,,,20090812
,"Italian","Registrazione di autorità","Insieme di dati che identifica un’entità e che può essere usata per facilitare l’accesso al punto di accesso autorizzato per quell’entità o per la visualizzazione di qualsiasi punto di accesso per l’entità.",,,,20090812
,"Japanese","典拠レコード","実体を識別し、その実体に対する典拠形アクセスポイントへのアクセスを、またはその実体に対するどのアクセスポイントの表示をも容易にするために用いることができるデータ要素の一群",,,,20090805
,"Korean","전거레코드","개체를 식별하고, 해당 개체의 전거형 접근점 혹은 해당 개체의 모든 접근점 표시에 접근을 촉진하기 위하여 사용될 수 있는 데이터 요소 집합",,,,20090805
,"Latvian","Autoritatīvais ieraksts","Datu elementu kopums, kas identificē entītiju, un kuru var izmantot piekļuves atvieglošanai vai jebkura šīs entītijas piekļuves punkta parādīšanai ekrānā.",,,,20090813
,"Lithuanian","Autoritetinis įrašas","duomenų elementų rinkinys, kuris identifikuoja entitetą ir
gali būti vartojamas palengvinti prieigą prie aprobuoto kreipties elemento šiam entitetui arba
bet kurio kreipties elemento entitetui išvedimą.",,,,20100809
,"Polish","Rekord wzorcowy","zestaw elementów danych, który identyfikuje jednostkę i może być stosowany dla ułatwienia dostępu do ujednoliconego punktu
dostępu do danej jednostki lub wyświetlenia jakiegokolwiek punktu dostępu do tej jednostki.",,,,20100809
,"Portuguese","Registo de autoridade","Conjunto de elementos de dados que identifica uma entidade e pode ser usado para facilitar o acesso ao ponto de acesso autorizado para essa entidade ou a para disponibilizar quaisquer outros pontos de acesso para a entidade.",,,,20090812
,"Russian","Авторитетная запись ","совокупность элементов данных, которая идентифицирует объект  и может использоваться, чтобы облегчить доступ к авторитетной точке доступа для этого объекта или  вывод любой точки доступа для объекта.",,,,20090805
,"Slovak","Autoritatívny záznam","súbor údajových prvkov, ktoré identifikujú entitu a môžu byť použité na uľahčenie prístupu k autorizovanému selekčnému údaju alebo na zobrazenie selekčného údaja pre entitu.",,,,20090805
,"Slovene","Normativni zapis","zbir podatkov, ki identificirajo entiteto in omogočajo dostop do normativne vstopne točke ali prikaz katerekoli vstopne točke.",,,,20090813
,"Spanish","Registro de autoridad","Un conjunto de datos que identifica a una entidad y que puede ser utilizado para facilitar el acceso a  los puntos de acceso autorizados para la entidad o para la visualización de cualquiera de los puntos de acceso para la entidad.",,,,20090805
,"Swedish","Auktoritetspost","En uppsättning dataelement som identifierar en entitet och kan användas för att underlätta tillgången till dess auktoriserade sökingång eller visningen av alla sökingångar för entiteten.",,,,20090813
,"Thai","รายการควบคุม","ชุดขององค์ประกอบของข้อมูลที่ระบุถึงเอนทิตี ซึ่งสามารถเอื้อประโยชน์ต่อ
	การเข้าถึงจุดเข้าถึงข้อมูลที่กำหนดให้ใช้ได้ของเอนทิตี หรือการจัดแสดงจุดเข้าถึงข้อมูลใด ๆ ของเอนทิตีได้",,,,20090805
,"Vietnamese","Hồ sơ tiêu đề chuẩn","Tập hợp các nhân tố dữ liệu xác định một thực thể hay được sử dụng để cung cấp điểm truy cập được cho phép đến một thực thể hay sự trình bày cho bất kể điểm truy cập nào của thực thể.",,,,20090813
,,,,,,,
,"English","Authorized access point","The preferred controlled access point for an entity, established and constructed according to rules or standards.",,"Access point [BT], Authorized form of name [RT], Controlled access point [BT], Preferred name [RT], Variant form of name [RT]","IME ICC",20090805
,"Albanian","Pikë hyrëse e autorizuar","Pika hyrëse e kontrolluar e preferuar për një entitet, e vendosur dhe e ndërtuar sipas rregullave ose standardeve.",,"Emër i preferuar [RT], Formë e autorizuar e emrit [RT], Pikë hyrëse [BT], Pikë hyrëse e kontrolluar [BT], Variant i formës së emrit [RT]",,20090811
,"Arabic","نقطة الوصول المقننة","نقطة الوصول المفضلة المضبوطة للكيان، أنشئت وبنيت طبقا لقواعد ومعايير.",,"نقطة الوصول[BT]، الشكل المقنن للاسم  [RT]، نقطة الوصول المضبوطة [BT]، الاسم المفضل  [RT]، الشكل المختلف للاسم [RT]",,20090805
,"Bulgarian","Установена точка за достъп","Предпочетената контролирана точка за достъп за определен обект, утвърдена и съставена в съответствие с правила или стандарти.",,"Точка за достъп [ВТ], Установена форма на име (наименование) [ВТ], Контролирана точка за достъп [ВТ], Предпочетено име (наименование) [А], Вариантна форма на име (наименование) [А]",,20100809
,"Catalan","Punt d’accés autoritzat","Punt d’accés controlat preferit d’una entitat, establert i elaborat segons unes regles o estàndards.",,"Forma autoritzada del nom [TR], Forma variant del nom [TR], Nom preferit [TR], Punt d’accés [TG], Punt d’accés controlat [TG]",,20100809
,"Chinese","规范检索点","按规则或标准确立与构建的一个实体的首选受控检索点。
",,"检索点 [BT]，名称的规范形式 [RT]，受控检索点 [BT]，首选名称，名称的变异形式 [RT]","IME ICC",20090805
,"Croatian","Usvojena pristupnica","Izabrana nadzirana pristupnica za entitet uspostavljena i izrađena prema pravilima ili standardima.",,"Izabrano ime [SP], Nadzirana pristupnica [ŠP], Neusvojeni oblik imena [SP], Pristupnica [ŠP], Usvojeni oblik imena [SP]",,20090812
,"Czech","Autorizovaný selekční údaj","preferovaný řízený selekční údaj pro entitu, stanovený a vytvořený podle pravidel či standardů.",,"Selekční údaj [BT], Autorizovaná forma jména [RT], Řízený selekční údaj [BT], Preferované jméno [RT], Variantní forma jména [RT]",,20090812
,"Finnish","Auktorisoitu hakutieto","Entiteetin ensisijainen kontrolloitu hakutieto, joka on laadittu ja muodostettu sääntöjen ja standardien mukaisesti.",,"Hakutieto [LT], Auktorisoitu nimimuoto [RT], Kontrolloitu hakutieto [lT], Nimen varianttimuoto [RT]",,20100809
